title,body,labels,milestone
"Add channel-config YAML schema and loader","Implement --channel-config YAML support for channel mapping and related per-run settings while preserving current defaults.","v0.2,cli,modeling","v0.2"
"Define precedence rules for YAML vs legacy flags","Document and implement deterministic precedence between --channel-config and legacy flags. Add explicit warnings for overrides.","v0.2,cli,docs","v0.2"
"Add channel-config validation errors","Add validation for missing/invalid channel entries with clear actionable error messages.","v0.2,cli,tests","v0.2"
"Create docs/modeling.md","Add modeling documentation: feature engineering, confidence/margin/entropy definitions, and interpretation limits.","v0.2,docs,modeling","v0.2"
"Expand model_card.md with failure modes","Update model card with protocol dependence, known failure modes, and intended-use boundaries.","v0.2,docs,modeling","v0.2"
"Add feature diagnostics script","Add script to summarize feature distributions by class/image for debugging and transparency.","v0.2,modeling,validation","v0.2"
"Add smoke test for scripts.run_pipeline","Add command-level smoke test for single-image pipeline with synthetic or cleared fixture.","v0.2,tests,ci","v0.2"
"Add smoke test for scripts.run_batch","Add command-level smoke test for batch execution and batch_summary.csv structure.","v0.2,tests,ci","v0.2"
"Add smoke test for review and merge workflow","Add test path for review CSV schema and merge command integration.","v0.2,tests,review","v0.2"
"Add baseline snapshot checks for legacy defaults","Create snapshot checks to verify legacy default behavior is unchanged in v0.2 hardening work.","v0.2,baseline-sensitive,tests","v0.2"
"Write baseline comparison protocol doc","Define fixed baseline comparison protocol for model/feature changes (datasets, metrics, outputs).","v0.3,validation,docs","v0.3"
"Build candidate feature table generation script","Add reproducible script to generate candidate modeling tables for baseline-vs-candidate evaluation.","v0.3,modeling,validation","v0.3"
"Train and version candidate model artifacts","Train candidate model(s) and save with explicit versioned names separate from alpha baseline model.","v0.3,modeling,baseline-sensitive","v0.3"
"Add held-out evaluation summary script","Create held-out evaluation script producing per-image and aggregate metrics tables.","v0.3,validation,tests","v0.3"
"Add confusion/per-class metrics report","Produce confusion matrix and per-class precision/recall/F1 where manual labels are available.","v0.3,validation,modeling","v0.3"
"Add class-level error analysis report","Add script/report to analyze common error modes by class and image context.","v0.3,validation,modeling","v0.3"
"Add hard-vs-soft composition comparison","Compute and plot hard-label vs soft-probability composition summaries.","v0.3,validation,modeling","v0.3"
"Add changelog template for scientific behavior changes","Create release-note/changelog template requiring explicit behavior-change documentation.","v0.3,docs,baseline-sensitive","v0.3"
"Decide whether to change default model","Decision issue: keep alpha model default or promote candidate model based on predefined criteria.","v0.3,baseline-sensitive,release","v0.3"
"Add uncertainty binning analysis","Bin fibers by confidence/margin/entropy and summarize review-worthy rate per bin.","v0.4,validation,modeling","v0.4"
"Add review-efficiency curve plot","Generate review-efficiency curves to quantify triage value of uncertainty signals.","v0.4,validation,review","v0.4"
"Add uncertainty heatmap output","Add per-image uncertainty heatmaps to highlight spatial patterns of model ambiguity.","v0.4,validation,review","v0.4"
"Define manual audit protocol by uncertainty tier","Document and run manual audit subset stratified by uncertainty bins.","v0.4,validation,docs","v0.4"
"Add uncertainty interpretation limitations section","Document limits: uncertainty reflects classifier ambiguity/evidence, not proven biological hybridity.","v0.4,docs,modeling","v0.4"
